GAS_ZONES_TIMESERIES_1,GAS_ZONES_TIMESERIES_2,LNGStorageQuantity
AL,20230103,0.0
AL,20230130,0.0
AL,20230213,0.0
AL,20230216,0.0
AL,20230306,0.0
AL,20230315,0.0
AL,20230403,0.0
AL,20230410,0.0
AL,20230530,0.0
AL,20230517,0.0
AL,20230630,0.0
AL,20230615,0.0
AL,20230727,0.0
AL,20230710,0.0
AL,20230803,0.0
AL,20230831,0.0
AL,20230906,0.0
AL,20230912,0.0
AL,20231005,0.0
AL,20231020,0.0
AL,20231129,0.0
AL,20231121,0.0
AL,20231228,0.0
AL,20231218,0.0
AR,20230103,0.0
AR,20230130,0.0
AR,20230213,0.0
AR,20230216,0.0
AR,20230306,0.0
AR,20230315,0.0
AR,20230403,0.0
AR,20230410,0.0
AR,20230530,0.0
AR,20230517,0.0
AR,20230630,0.0
AR,20230615,0.0
AR,20230727,0.0
AR,20230710,0.0
AR,20230803,0.0
AR,20230831,0.0
AR,20230906,0.0
AR,20230912,0.0
AR,20231005,0.0
AR,20231020,0.0
AR,20231129,0.0
AR,20231121,0.0
AR,20231228,0.0
AR,20231218,0.0
AZ,20230103,0.0
AZ,20230130,0.0
AZ,20230213,0.0
AZ,20230216,0.0
AZ,20230306,0.0
AZ,20230315,0.0
AZ,20230403,0.0
AZ,20230410,0.0
AZ,20230530,0.0
AZ,20230517,0.0
AZ,20230630,0.0
AZ,20230615,0.0
AZ,20230727,0.0
AZ,20230710,0.0
AZ,20230803,0.0
AZ,20230831,0.0
AZ,20230906,0.0
AZ,20230912,0.0
AZ,20231005,0.0
AZ,20231020,0.0
AZ,20231129,0.0
AZ,20231121,0.0
AZ,20231228,0.0
AZ,20231218,0.0
CA,20230103,0.0
CA,20230130,0.0
CA,20230213,0.0
CA,20230216,0.0
CA,20230306,0.0
CA,20230315,0.0
CA,20230403,0.0
CA,20230410,0.0
CA,20230530,0.0
CA,20230517,0.0
CA,20230630,0.0
CA,20230615,0.0
CA,20230727,0.0
CA,20230710,0.0
CA,20230803,0.0
CA,20230831,0.0
CA,20230906,0.0
CA,20230912,0.0
CA,20231005,0.0
CA,20231020,0.0
CA,20231129,0.0
CA,20231121,0.0
CA,20231228,0.0
CA,20231218,0.0
CO,20230103,0.0
CO,20230130,0.0
CO,20230213,0.0
CO,20230216,0.0
CO,20230306,0.0
CO,20230315,0.0
CO,20230403,0.0
CO,20230410,0.0
CO,20230530,0.0
CO,20230517,0.0
CO,20230630,0.0
CO,20230615,0.0
CO,20230727,0.0
CO,20230710,0.0
CO,20230803,0.0
CO,20230831,0.0
CO,20230906,0.0
CO,20230912,0.0
CO,20231005,0.0
CO,20231020,0.0
CO,20231129,0.0
CO,20231121,0.0
CO,20231228,0.0
CO,20231218,0.0
CT,20230103,0.0
CT,20230130,0.0
CT,20230213,0.0
CT,20230216,0.0
CT,20230306,0.0
CT,20230315,0.0
CT,20230403,0.0
CT,20230410,0.0
CT,20230530,0.0
CT,20230517,0.0
CT,20230630,0.0
CT,20230615,0.0
CT,20230727,0.0
CT,20230710,0.0
CT,20230803,0.0
CT,20230831,0.0
CT,20230906,0.0
CT,20230912,0.0
CT,20231005,0.0
CT,20231020,0.0
CT,20231129,0.0
CT,20231121,0.0
CT,20231228,0.0
CT,20231218,0.0
DC,20230103,0.0
DC,20230130,0.0
DC,20230213,0.0
DC,20230216,0.0
DC,20230306,0.0
DC,20230315,0.0
DC,20230403,0.0
DC,20230410,0.0
DC,20230530,0.0
DC,20230517,0.0
DC,20230630,0.0
DC,20230615,0.0
DC,20230727,0.0
DC,20230710,0.0
DC,20230803,0.0
DC,20230831,0.0
DC,20230906,0.0
DC,20230912,0.0
DC,20231005,0.0
DC,20231020,0.0
DC,20231129,0.0
DC,20231121,0.0
DC,20231228,0.0
DC,20231218,0.0
DE,20230103,0.0
DE,20230130,0.0
DE,20230213,0.0
DE,20230216,0.0
DE,20230306,0.0
DE,20230315,0.0
DE,20230403,0.0
DE,20230410,0.0
DE,20230530,0.0
DE,20230517,0.0
DE,20230630,0.0
DE,20230615,0.0
DE,20230727,0.0
DE,20230710,0.0
DE,20230803,0.0
DE,20230831,0.0
DE,20230906,0.0
DE,20230912,0.0
DE,20231005,0.0
DE,20231020,0.0
DE,20231129,0.0
DE,20231121,0.0
DE,20231228,0.0
DE,20231218,0.0
FL,20230103,0.0
FL,20230130,0.0
FL,20230213,0.0
FL,20230216,0.0
FL,20230306,0.0
FL,20230315,0.0
FL,20230403,0.0
FL,20230410,0.0
FL,20230530,0.0
FL,20230517,0.0
FL,20230630,0.0
FL,20230615,0.0
FL,20230727,0.0
FL,20230710,0.0
FL,20230803,0.0
FL,20230831,0.0
FL,20230906,0.0
FL,20230912,0.0
FL,20231005,0.0
FL,20231020,0.0
FL,20231129,0.0
FL,20231121,0.0
FL,20231228,0.0
FL,20231218,0.0
GA,20230103,0.0
GA,20230130,0.0
GA,20230213,0.0
GA,20230216,0.0
GA,20230306,0.0
GA,20230315,0.0
GA,20230403,0.0
GA,20230410,0.0
GA,20230530,0.0
GA,20230517,0.0
GA,20230630,0.0
GA,20230615,0.0
GA,20230727,0.0
GA,20230710,0.0
GA,20230803,0.0
GA,20230831,0.0
GA,20230906,0.0
GA,20230912,0.0
GA,20231005,0.0
GA,20231020,0.0
GA,20231129,0.0
GA,20231121,0.0
GA,20231228,0.0
GA,20231218,0.0
IA,20230103,0.0
IA,20230130,0.0
IA,20230213,0.0
IA,20230216,0.0
IA,20230306,0.0
IA,20230315,0.0
IA,20230403,0.0
IA,20230410,0.0
IA,20230530,0.0
IA,20230517,0.0
IA,20230630,0.0
IA,20230615,0.0
IA,20230727,0.0
IA,20230710,0.0
IA,20230803,0.0
IA,20230831,0.0
IA,20230906,0.0
IA,20230912,0.0
IA,20231005,0.0
IA,20231020,0.0
IA,20231129,0.0
IA,20231121,0.0
IA,20231228,0.0
IA,20231218,0.0
ID,20230103,0.0
ID,20230130,0.0
ID,20230213,0.0
ID,20230216,0.0
ID,20230306,0.0
ID,20230315,0.0
ID,20230403,0.0
ID,20230410,0.0
ID,20230530,0.0
ID,20230517,0.0
ID,20230630,0.0
ID,20230615,0.0
ID,20230727,0.0
ID,20230710,0.0
ID,20230803,0.0
ID,20230831,0.0
ID,20230906,0.0
ID,20230912,0.0
ID,20231005,0.0
ID,20231020,0.0
ID,20231129,0.0
ID,20231121,0.0
ID,20231228,0.0
ID,20231218,0.0
IL,20230103,0.0
IL,20230130,0.0
IL,20230213,0.0
IL,20230216,0.0
