gas_zone,storage_type,timeseries,StorageInjections,StorageWithdrawals,StorageNetWithdrawals,StorageQuantity
AL,aquifer,20230103,0,0,0,0
AL,aquifer,20230130,0,0,0,0
AL,aquifer,20230213,0,0,0,0
AL,aquifer,20230216,0,0,0,0
AL,aquifer,20230306,0,0,0,0
AL,aquifer,20230315,0,0,0,0
AL,aquifer,20230403,0,0,0,0
AL,aquifer,20230410,0,0,0,0
AL,aquifer,20230530,0,0,0,0
AL,aquifer,20230517,0,0,0,0
AL,aquifer,20230630,0,0,0,0
AL,aquifer,20230615,0,0,0,0
AL,aquifer,20230727,0,0,0,0
AL,aquifer,20230710,0,0,0,0
AL,aquifer,20230803,0,0,0,0
AL,aquifer,20230831,0,0,0,0
AL,aquifer,20230906,0,0,0,0
AL,aquifer,20230912,0,0,0,0
AL,aquifer,20231005,0,0,0,0
AL,aquifer,20231020,0,0,0,0
AL,aquifer,20231129,0,0,0,0
AL,aquifer,20231121,0,0,0,0
AL,aquifer,20231228,0,0,0,0
AL,aquifer,20231218,0,0,0,0
AL,depleted field,20230103,0,0,0,0
AL,depleted field,20230130,0,0,0,0
AL,depleted field,20230213,0,0,0,0
AL,depleted field,20230216,0,0,0,0
AL,depleted field,20230306,0,0,0,0
AL,depleted field,20230315,0,0,0,0
AL,depleted field,20230403,0,0,0,0
AL,depleted field,20230410,0,0,0,0
AL,depleted field,20230530,579713,0,-579713,579713
AL,depleted field,20230517,375116,0,-375116,1.16144e+07
AL,depleted field,20230630,0,0,0,1.16144e+07
AL,depleted field,20230615,0,0,0,1.16144e+07
AL,depleted field,20230727,0,0,0,1.16144e+07
AL,depleted field,20230710,0,0,0,1.16144e+07
AL,depleted field,20230803,0,0,0,1.16144e+07
AL,depleted field,20230831,0,0,0,1.16144e+07
AL,depleted field,20230906,0,0,0,1.16144e+07
AL,depleted field,20230912,0,0,0,1.16144e+07
AL,depleted field,20231005,0,0,0,1.16144e+07
AL,depleted field,20231020,0,0,0,1.16144e+07
AL,depleted field,20231129,0,0,0,1.16144e+07
AL,depleted field,20231121,0,394823,394823,0
AL,depleted field,20231228,0,0,0,0
AL,depleted field,20231218,0,0,0,0
AL,salt cavern,20230103,0,0,0,0
AL,salt cavern,20230130,0,0,0,0
AL,salt cavern,20230213,0,0,0,0
AL,salt cavern,20230216,0,0,0,0
AL,salt cavern,20230306,0,0,0,0
AL,salt cavern,20230315,0,0,0,0
AL,salt cavern,20230403,0,0,0,0
AL,salt cavern,20230410,0,0,0,0
AL,salt cavern,20230530,0,0,0,0
AL,salt cavern,20230517,211319,0,-211319,6.2163e+06
AL,salt cavern,20230630,0,0,0,6.2163e+06
AL,salt cavern,20230615,562465,0,-562465,2.27622e+07
AL,salt cavern,20230727,0,0,0,2.27622e+07
AL,salt cavern,20230710,0,0,0,2.27622e+07
AL,salt cavern,20230803,0,0,0,2.27622e+07
AL,salt cavern,20230831,0,0,0,2.27622e+07
AL,salt cavern,20230906,0,0,0,2.27622e+07
AL,salt cavern,20230912,0,0,0,2.27622e+07
AL,salt cavern,20231005,0,1.37708e+06,1.37708e+06,2.13851e+07
AL,salt cavern,20231020,0,401668,401668,9.5693e+06
AL,salt cavern,20231129,0,4.74425e+06,4.74425e+06,4.82506e+06
AL,salt cavern,20231121,0,164024,164024,0
AL,salt cavern,20231228,0,0,0,0
AL,salt cavern,20231218,0,0,0,0
AR,aquifer,20230103,0,0,0,0
AR,aquifer,20230130,0,0,0,0
AR,aquifer,20230213,0,0,0,0
AR,aquifer,20230216,0,0,0,0
AR,aquifer,20230306,0,0,0,0
AR,aquifer,20230315,0,0,0,0
AR,aquifer,20230403,0,0,0,0
AR,aquifer,20230410,0,0,0,0
AR,aquifer,20230530,0,0,0,0
AR,aquifer,20230517,0,0,0,0
AR,aquifer,20230630,0,0,0,0
