GAS_ZONES,TIMESERIES,DEMAND_SECTORS,gas_ref_price,gas_demand_ref_quantity
AL,20230103,EI,6.062827043,698424.8238
AL,20230103,RC,10.05920937,178807.9535
AL,20230130,EI,6.654361369,735137.0232
AL,20230130,RC,11.04066036,272628.4042
AL,20230213,EI,6.670070444,768998.8851
AL,20230213,RC,11.06672425,414681.6166
AL,20230216,EI,6.737897459,689608.2095
AL,20230216,RC,11.17926023,141200.7405
AL,20230306,EI,5.793368133,707186.9457
AL,20230306,RC,9.61213351,174497.7258
AL,20230315,EI,5.37186771,773832.3821
AL,20230315,RC,8.912796225,513435.1402
AL,20230403,EI,4.462422962,698521.4325
AL,20230403,RC,7.40388049,145489.1375
AL,20230410,EI,4.545839923,701739.9318
AL,20230410,RC,7.542282701,170592.4109
AL,20230517,EI,2.907245433,682444.4347
AL,20230517,RC,4.823589768,68575.01999
AL,20230530,EI,2.665611011,655148.6206
AL,20230530,RC,4.422679232,73429.71148
AL,20230615,EI,2.702187654,668469.4816
AL,20230615,RC,4.48336579,61194.12634
AL,20230630,EI,3.892562712,661721.9861
AL,20230630,RC,6.458390288,58348.64655
AL,20230710,EI,4.684618411,657444.7355
AL,20230710,RC,7.772538629,56968.63354
AL,20230727,EI,4.904845916,654027.7801
AL,20230727,RC,8.137931632,55415.92138
AL,20230803,EI,4.84279748,654717.6914
AL,20230803,RC,8.034983255,55081.06242
AL,20230831,EI,5.070496151,667941.1513
AL,20230831,RC,8.412772128,55398.66125
AL,20230906,EI,4.929655539,682237.3853
AL,20230906,RC,8.179094805,56390.71717
AL,20230912,EI,5.382610467,688979.2477
AL,20230912,RC,8.930620194,57165.5683
AL,20231005,EI,5.770138226,705835.5674
AL,20231005,RC,9.573591341,63629.01446
AL,20231020,EI,5.134096774,699443.7726
AL,20231020,RC,8.518295836,81856.33801
AL,20231121,EI,5.189174761,715777.8324
AL,20231121,RC,8.609679113,115943.6301
AL,20231129,EI,5.325918039,758454.5033
AL,20231129,RC,8.836558299,328124.9984
AL,20231218,EI,5.103589472,743807.7775
AL,20231218,RC,8.467679294,284803.4735
AL,20231228,EI,5.015872512,743490.1765
AL,20231228,RC,8.32214269,314289.7458
AR,20230103,EI,8.392102157,309833.7909
AR,20230103,RC,11.39783797,329766.6305
AR,20230130,EI,12.8774339,362627.6755
AR,20230130,RC,17.48964709,488988.2205
AR,20230213,EI,26.01100498,359209.3646
AR,20230213,RC,35.32717009,463422.7672
AR,20230216,EI,24.25918042,335225.3661
AR,20230216,RC,32.94790776,326823.8584
AR,20230306,EI,9.803325545,342701.1652
AR,20230306,RC,13.31450858,330659.474
AR,20230315,EI,6.231791198,362197.3258
AR,20230315,RC,8.463784761,530524.3064
AR,20230403,EI,4.530046556,338408.7952
AR,20230403,RC,6.152539101,275375.5427
AR,20230410,EI,4.393331661,335924.4728
AR,20230410,RC,5.966858065,257645.3606
AR,20230517,EI,3.569067172,321312.0326
AR,20230517,RC,4.847372992,157201.7632
AR,20230530,EI,4.366112575,316079.0711
AR,20230530,RC,5.929890125,148061.0134
AR,20230615,EI,6.133106594,310450.5402
AR,20230615,RC,8.329755039,138866.0232
AR,20230630,EI,5.211942061,305937.9637
AR,20230630,RC,7.078663965,135214.576
AR,20230710,EI,4.41202012,303545.8856
AR,20230710,RC,5.992240028,133411.5289
AR,20230727,EI,3.874255723,302125.5954
AR,20230727,RC,5.261868621,133580.6368
AR,20230803,EI,3.825244702,302503.8001
AR,20230803,RC,5.195303692,133732.2645
AR,20230831,EI,4.005100072,311764.6932
AR,20230831,RC,5.439576501,134010.4864
AR,20230906,EI,3.89385243,314668.6055
AR,20230906,RC,5.288484131,135334.5078
AR,20230912,EI,4.251633949,318490.2165
AR,20230912,RC,5.774409554,135316.8597
AR,20231005,EI,4.557735641,329750.6917
AR,20231005,RC,6.190145376,140497.7813
AR,20231020,EI,4.055337141,341124.3034
AR,20231020,RC,5.507806601,159588.6881
AR,20231121,EI,4.098842321,353342.379
AR,20231121,RC,5.566893703,248870.5784
AR,20231129,EI,4.206853548,377202.9928
AR,20231129,RC,5.713590495,378952.8753
AR,20231218,EI,4.031239933,356480.4972
AR,20231218,RC,5.475078679,368158.2575
AR,20231228,EI,3.961953774,368272.6081
AR,20231228,RC,5.38097682,472087.3749
AZ,20230103,EI,6.518566902,71128.64031
AZ,20230103,RC,9.693010381,452407.0927
AZ,20230130,EI,7.581953033,69530.22465
AZ,20230130,RC,11.27424947,472343.5192
AZ,20230213,EI,8.367171085,61400.23314
AZ,20230213,RC,12.44185684,369354.4626
AZ,20230216,EI,8.430131923,87607.18151
AZ,20230216,RC,12.53547865,845896.0833
AZ,20230306,EI,6.939112071,61825.93206
AZ,20230306,RC,10.31835469,349703.7425
AZ,20230315,EI,6.295489234,57132.51176
AZ,20230315,RC,9.361297264,253903.0733
AZ,20230403,EI,5.304929439,56343.47641
AZ,20230403,RC,7.888349832,239410.7383
AZ,20230410,EI,5.432615418,54319.44314
AZ,20230410,RC,8.078216951,195489.7896
AZ,20230517,EI,5.750643668,50359.92995
AZ,20230517,RC,8.551120149,135274.3355
AZ,20230530,EI,5.426807325,49813.12853
AZ,20230530,RC,8.069580404,129849.4632
AZ,20230615,EI,5.643195808,49076.50479
AZ,20230615,RC,8.391346806,120155.2901
