GAS_ZONES,TIMESERIES,gas_import_ref_quantity,gas_export_ref_quantity
AZ,20230130,0.0,115318.935483871
AZ,20230103,0.0,115318.935483871
AZ,20231020,0.0,124985.806451613
AZ,20231005,0.0,124985.806451613
AZ,20231129,0.0,134600.6
AZ,20231121,0.0,134600.6
AZ,20231218,0.0,114342.483870968
AZ,20231228,0.0,114342.483870968
AZ,20230216,0.0,116575.535714286
AZ,20230213,0.0,116575.535714286
AZ,20230315,0.0,99760.8064516129
AZ,20230306,0.0,99760.8064516129
AZ,20230403,0.0,86235.8666666667
AZ,20230410,0.0,86235.8666666667
AZ,20230530,0.0,155809.129032258
AZ,20230517,0.0,155809.129032258
AZ,20230630,0.0,163188.933333333
AZ,20230615,0.0,163188.933333333
AZ,20230727,0.0,165541.096774194
AZ,20230710,0.0,165541.096774194
AZ,20230803,0.0,163165.064516129
AZ,20230831,0.0,163165.064516129
AZ,20230912,0.0,153435.266666667
AZ,20230906,0.0,153435.266666667
CA,20230130,4199.1935483871,302341.967741935
CA,20230103,4199.1935483871,302341.967741935
CA,20231020,0.0,483408.64516129
CA,20231005,0.0,483408.64516129
CA,20231129,0.0,400135.766666667
CA,20231121,0.0,400135.766666667
CA,20231218,0.0,348723.419354839
CA,20231228,0.0,348723.419354839
CA,20230213,22037.5,321366.5
CA,20230216,22037.5,321366.5
CA,20230315,0.0,352661.774193548
CA,20230306,0.0,352661.774193548
CA,20230403,0.0,327218.7
CA,20230410,0.0,327218.7
CA,20230530,0.0,374176.258064516
CA,20230517,0.0,374176.258064516
CA,20230630,0.0,368285.0
CA,20230615,0.0,368285.0
CA,20230727,0.0,491122.612903226
CA,20230710,0.0,491122.612903226
CA,20230831,0.0,509512.451612903
CA,20230803,0.0,509512.451612903
CA,20230912,0.0,425091.7
CA,20230906,0.0,425091.7
ID,20230130,2777683.87096774,0.0
ID,20230103,2777683.87096774,0.0
ID,20231020,2269779.83870968,0.0
ID,20231005,2269779.83870968,0.0
ID,20231129,2400789.16666667,0.0
ID,20231121,2400789.16666667,0.0
ID,20231218,2700312.90322581,0.0
ID,20231228,2700312.90322581,0.0
ID,20230216,2712735.71428571,0.0
ID,20230213,2712735.71428571,0.0
ID,20230315,2735592.74193548,0.0
ID,20230306,2735592.74193548,0.0
ID,20230403,2649488.33333333,0.0
ID,20230410,2649488.33333333,0.0
ID,20230530,2246270.96774194,0.0
ID,20230517,2246270.96774194,0.0
ID,20230630,2574663.33333333,0.0
ID,20230615,2574663.33333333,0.0
ID,20230727,2459636.29032258,0.0
ID,20230710,2459636.29032258,0.0
ID,20230831,2556118.5483871,0.0
ID,20230803,2556118.5483871,0.0
ID,20230912,2632575.83333333,0.0
ID,20230906,2632575.83333333,0.0
ME,20230130,31459.6774193548,291082.096774194
ME,20230103,31459.6774193548,291082.096774194
ME,20231020,25239.8387096774,250158.35483871
ME,20231005,25239.8387096774,250158.35483871
ME,20231129,39348.6666666667,311074.033333333
ME,20231121,39348.6666666667,311074.033333333
ME,20231228,57209.0322580645,331265.774193548
ME,20231218,57209.0322580645,331265.774193548
ME,20230216,162891.428571429,349375.321428571
ME,20230213,162891.428571429,349375.321428571
ME,20230315,18829.0322580645,350027.225806452
ME,20230306,18829.0322580645,350027.225806452
ME,20230403,20859.6666666667,295304.233333333
ME,20230410,20859.6666666667,295304.233333333
ME,20230530,22941.6129032258,293174.677419355
ME,20230517,22941.6129032258,293174.677419355
ME,20230630,46075.1666666667,291025.3
ME,20230615,46075.1666666667,291025.3
ME,20230727,79941.1290322581,262959.35483871
ME,20230710,79941.1290322581,262959.35483871
ME,20230831,34027.0967741935,275695.258064516
ME,20230803,34027.0967741935,275695.258064516
ME,20230906,17716.8333333333,282314.266666667
ME,20230912,17716.8333333333,282314.266666667
MI,20230130,175969.35483871,2266344.19354839
MI,20230103,175969.35483871,2266344.19354839
MI,20231020,704670.967741936,1102706.80645161
MI,20231005,704670.967741936,1102706.80645161
MI,20231129,161266.666666667,1880574.2
MI,20231121,161266.666666667,1880574.2
MI,20231218,143599.193548387,2445523.06451613
MI,20231228,143599.193548387,2445523.06451613
MI,20230216,165976.785714286,2236808.85714286
MI,20230213,165976.785714286,2236808.85714286
MI,20230306,139400.0,2293945.22580645
MI,20230315,139400.0,2293945.22580645
MI,20230403,243471.666666667,1409169.4
MI,20230410,243471.666666667,1409169.4
MI,20230530,244644.35483871,1413120.77419355
MI,20230517,244644.35483871,1413120.77419355
MI,20230630,334901.666666667,1398675.8
MI,20230615,334901.666666667,1398675.8
MI,20230710,407916.935483871,1398962.22580645
MI,20230727,407916.935483871,1398962.22580645
MI,20230803,645452.419354839,1051768.58064516
MI,20230831,645452.419354839,1051768.58064516
MI,20230906,421172.5,1477781.4
MI,20230912,421172.5,1477781.4
MN,20230130,1230793.5483871,9569.22580645161
MN,20230103,1230793.5483871,9569.22580645161
MN,20231020,1215319.35483871,8039.45161290323
MN,20231005,1215319.35483871,8039.45161290323
MN,20231129,1559366.66666667,7634.76666666667
MN,20231121,1559366.66666667,7634.76666666667
MN,20231218,1718759.67741935,8137.09677419355
